run_id,prompt_id,variant_id,engine,domain,normalized_url,source_type,cited,mentioned,position,notes
"Z0-E01-A-CHATGPT","E01","A","ChatGPT","valentinproteccionintegral.com","https://valentinproteccionintegral.com/","first_party","yes","yes","1","Observed VPI-owned source in one-shot response."
"Z0-E01-A-CHATGPT","E01","A","ChatGPT","valentinproteccionintegral.com","https://valentinproteccionintegral.com/sobre-nosotros","first_party","yes","yes","2","Observed VPI-owned source in one-shot response."
"Z0-E01-A-GOOGLE","E01","A","Google","valentinproteccionintegral.com","https://valentinproteccionintegral.com/","first_party","yes","yes","1","Only explicitly observed source in one-shot response."
"Z0-E01-A-COPILOT","E01","A","Copilot","maps.google.com","https://maps.google.com/?cid=1205253879903935483","local_map","yes","yes","1","Visible local-business/map source; image and directions resources excluded from analytical landscape."
"Z0-E01-A-COPILOT","E01","A","Copilot","valentinproteccionintegral.com","https://valentinproteccionintegral.com/","first_party","yes","yes","2","Visible site link in local-business surface."
"Z0-E01-A-COPILOT","E01","A","Copilot","www.openstreetmap.org","https://www.openstreetmap.org/copyright","map_attribution","yes","yes","3","Visible map attribution; not treated as editorial source."
"Z0-E01-A-PERPLEXITY","E01","A","Perplexity","valentinproteccionintegral.com","https://valentinproteccionintegral.com/","first_party","yes","yes","1","Observed inline source in one-shot response."
"Z0-E01-A-PERPLEXITY","E01","A","Perplexity","valentinproteccionintegral.com","https://valentinproteccionintegral.com/sobre-nosotros","first_party","yes","yes","2","Observed inline source in one-shot response."
"Z0-E01-A-PERPLEXITY","E01","A","Perplexity","www.todoenlaces.com","https://www.todoenlaces.com/valentin-proteccion-integral/","other","yes","yes","3","Observed external entity source."
"Z0-E01-A-PERPLEXITY","E01","A","Perplexity","www.linkedin.com","https://www.linkedin.com/company/valent%C3%ADn-protecci%C3%B3n-integral","other","yes","yes","4","Observed external entity source."
"Z0-E01-A-PERPLEXITY","E01","A","Perplexity","valentinproteccionintegral.com","https://valentinproteccionintegral.com/como-te-ayudamos","first_party","yes","yes","5","Observed inline source in one-shot response."
"Z0-E01-A-PERPLEXITY","E01","A","Perplexity","valentinproteccionintegral.com","https://valentinproteccionintegral.com/seguros/accidentes-decesos","first_party","yes","yes","6","Observed inline source in one-shot response."
"Z0-E01-A-PERPLEXITY","E01","A","Perplexity","valentinproteccionintegral.com","https://valentinproteccionintegral.com/seguros/salud-individual","first_party","yes","yes","7","Observed inline source in one-shot response."
"Z0-E01-A-PERPLEXITY","E01","A","Perplexity","valentinproteccionintegral.com","https://valentinproteccionintegral.com/seguros/salud","first_party","yes","yes","8","Observed inline source in one-shot response."
"Z0-E01-A-PERPLEXITY","E01","A","Perplexity","valentinproteccionintegral.com","https://valentinproteccionintegral.com/empresas/ciberseguridad","first_party","yes","yes","9","Observed inline source in one-shot response."
"Z0-E01-A-PERPLEXITY","E01","A","Perplexity","valentinproteccionintegral.com","https://valentinproteccionintegral.com/para/autonomos","first_party","yes","yes","10","Observed inline source in one-shot response."
"Z0-E01-A-PERPLEXITY","E01","A","Perplexity","www.valentinproteccionintegral.com","https://www.valentinproteccionintegral.com/blog","first_party","yes","yes","11","Observed inline or final-list source in one-shot response."
"Z0-E01-A-PERPLEXITY","E01","A","Perplexity","valentinproteccionintegral.com","https://valentinproteccionintegral.com/empresas/salud","first_party","yes","yes","12","Observed final-list source in one-shot response."
"Z0-E01-A-PERPLEXITY","E01","A","Perplexity","www.valentinproteccionintegral.com","https://www.valentinproteccionintegral.com/seguros/decesos","first_party","yes","yes","13","Observed final-list source in one-shot response."
"Z0-E01-B-CHATGPT","E01","B","ChatGPT","valentinproteccionintegral.com","https://valentinproteccionintegral.com/sobre-nosotros","first_party","yes","yes","1","Observed VPI-owned source."
"Z0-E01-B-CHATGPT","E01","B","ChatGPT","valentinproteccionintegral.com","https://valentinproteccionintegral.com/empresas","first_party","yes","yes","2","Observed VPI-owned source."
"Z0-E01-B-GOOGLE","E01","B","Google","valentinproteccionintegral.com","https://valentinproteccionintegral.com/","first_party","yes","yes","1","Observed source listed in response."
"Z0-E01-B-GOOGLE","E01","B","Google","valentinproteccionintegral.com","https://valentinproteccionintegral.com/seguros","first_party","yes","yes","2","Observed source listed in response."
"Z0-E01-B-GOOGLE","E01","B","Google","valentinproteccionintegral.com","https://valentinproteccionintegral.com/autonomos","first_party","yes","yes","3","Observed source listed in response."
"Z0-E01-B-GOOGLE","E01","B","Google","valentinproteccionintegral.com","https://valentinproteccionintegral.com/empresas/salud","first_party","yes","yes","4","Observed source listed in response."
"Z0-E01-B-GOOGLE","E01","B","Google","valentinproteccionintegral.com","https://valentinproteccionintegral.com/zonas","first_party","yes","yes","5","Observed source listed in response; label retained as response text only."
"Z0-E01-B-COPILOT","E01","B","Copilot","valentinproteccionintegral.com","https://valentinproteccionintegral.com/","first_party","yes","yes","1","Observed source listed in response."
"Z0-E01-B-COPILOT","E01","B","Copilot","valentinproteccionintegral.com","https://valentinproteccionintegral.com/contacto","first_party","yes","yes","2","Observed source listed in response."
"Z0-E01-B-COPILOT","E01","B","Copilot","valentinproteccionintegral.com","https://valentinproteccionintegral.com/seguros","first_party","yes","yes","3","Observed source listed in response."
"Z0-E01-B-COPILOT","E01","B","Copilot","valentinproteccionintegral.com","https://valentinproteccionintegral.com/sobre-nosotros","first_party","yes","yes","4","Observed source listed in response."
